2018-10-06 15:55:05-09;Annona cornifolia;Pinha silvestre;Os araticuns e as pinhas são consumidos in natura ou usados no preparo de doces típicos.;1;fruto
2018-10-06 15:55:05-09;Annona crassiflora;Araticum-do-cerrado ou marolo;Os araticuns e as pinhas são consumidos in natura ou usados no preparo de doces típicos.;1;fruto
2018-10-06 15:55:05-09;Eugenia spp;Pitanga-do-cerrado;Polpa macia e adocicada, é consumida in natura ou na forma de geléias.;1;fruto
2018-10-06 15:55:05-09;Pouteria spp;Curriola ou Grão-de-galo;Consumida in natura possui sabor adocicado, possui pouca polpa e grandes sementes.;1;fruto
2018-10-06 15:55:05-09;Eugenia klostzchiana;Pêra-do-cerrado;Pouco conhecida, seu fruto é carnuto é, consumido in natura ou compotas.;1;fruto
2018-10-06 15:55:05-09;Tocoyena formosa;Jenipapo-de-cavalo;Da sua polpa macia são feitos doces e geléias, apesar de não ser muito popular.;1;fruto
2018-10-06 15:55:05-09;Alibertia edulis;Marmelada-de-Cachorro;Os frutos são consumidos na sua forma natural, possuindo sabor forte e muito doce.;1;fruto
2018-10-06 15:55:05-09;Eugenia dysenterica;Cagaita;Muito conhecida, consumida in natura verde ou madura, pode também ser processada de diversas formas como sorvetes e sucos.;1;fruto
2018-10-06 15:55:05-09;Byrsonima spp;Murici;Há muitos tipos de muricis. Eles são apreciados in natura ou na forma de suco e sorvete.;1;fruto
2018-10-06 15:55:05-09;Inga alba;Ingá;A cobertura carnuda das sementes dos ingás é bem adocicada, mesmo não tendo muita polpa, é muito apreciado.;1;fruto
2018-10-06 15:55:05-09;Inga cylindrica;Ingá;A cobertura carnuda das sementes dos ingás é bem adocicada, mesmo não tendo muita polpa, é muito apreciado.;1;fruto
2018-10-06 15:55:05-09;Inga edulis;Ingá-de-metro;A cobertura carnuda das sementes dos ingás é bem adocicada, mesmo não tendo muita polpa, é muito apreciado.;1;fruto
2018-10-06 15:55:05-09;Solanum lycocarpum;Lobeira;Pouca conhecida na culinária, mas de sua polpa são feitos doces e geléias muito saborosos.;1;fruto
2018-10-06 15:55:05-09;Melacium campestre;Melancia-do-cerrado;Consumida in natura ou na forma de suco.;1;fruto
2018-10-06 15:55:05-09;Heterospizias merionalis;Gavião-caboclo;Sem descrição;1;ave
2018-10-06 15:55:05-09;Elanus leucurus;Gavião-peneira;Sem descrição;1;ave
2018-10-06 15:55:05-09;Geranoetus albicaudatus;Gavião-de-rabo-branco;Sem descrição;1;ave
2018-10-06 15:55:05-09;Milvago chimachima;Carrapateiro;Sem descrição;1;ave
2018-10-06 15:55:05-09;Falco sparverius;Quiriquiri;Sem descrição;1;ave
2018-10-06 15:55:05-09;Rupornis magnirostris;Gavião-carijó;Sem descrição;1;ave
2018-10-06 15:55:05-09;Rostrhamus sociabilis;Gavião-caramujeiro;Sem descrição;1;ave
2018-10-06 15:55:05-09;Herpetotheres cachinnans;Acauã;Sem descrição;1;ave
2018-10-06 15:55:05-09;Ictinia plumbea;Sovi;Sem descrição;1;ave
2018-10-06 15:55:05-09;Caracara plancus;Carcará;Sem descrição;1;ave
2018-10-06 15:55:05-09;Cariama cristata;Seriema;Sem descrição;1;ave
2018-10-06 15:55:05-09;Vanellus chilensis;Quero-quero;Sem descrição;1;ave
2018-10-06 15:55:05-09;Jacana jacana;Jaçanã;Sem descrição;1;ave
2018-10-06 15:55:05-09;Crotophaga ani;Anu-preto;Sem descrição;1;ave
2018-10-06 15:55:05-09;Guira guira;Anu-branco;Sem descrição;1;ave
2018-10-06 15:55:05-09;Patagioenas picazuro;Pombão ou asa-branca;Sem descrição;1;ave
2018-10-06 15:55:05-09;Columba livia;Pombo-doméstico;Sem descrição;1;ave
2018-10-06 15:55:05-09;Columbina aquammata;Fogo-apagou;Sem descrição;1;ave
2018-10-06 15:55:05-09;Zenaida auriculata;Pomba-de-bando;Sem descrição;1;ave
2018-10-06 15:55:05-09;Columbina talpacoti;Rolinha-roxa;Sem descrição;1;ave
2018-10-06 15:55:05-09;Leptolila rufaxilla;Juriti-gemedeira;Sem descrição;1;ave
2018-10-06 15:55:05-09;Piaya cayana;Alma-de-gato;Sem descrição;1;ave
